stationid,COMID,q50,q50_weighted,slp,slope
Brazil_14690000,62001925,290.74075,244.80014621510225,,4.7487397e-05
Brazil_14710000,62005313,1888.1108,1802.0478644120067,,0.000202809671
Brazil_14750000,62005573,79.17998,65.70058949788411,,0.000181787398
Brazil_14850000,62022917,112.74307,120.45968882242839,,0.000417632558211
Brazil_15120001,62139285,156.82956,95.13249588012695,,0.000110577441
Brazil_15130000,62131029,600.88904,372.70662713819934,,0.000176387781
Brazil_15150000,62126809,1078.4537,607.8024509974888,,5.315841e-06
Brazil_15200000,62122198,2274.7688,1393.7436664287861,,0.000195744198289
Brazil_15320002,62098852,15084.061,10512.283862964527,,3.3651293e-05
Brazil_15325000,62103760,405.96866,152.62151128595525,,0.000179671616529
Brazil_15326000,62098949,411.8228,160.056400005634,,6.1479561e-05
Brazil_15400000,62089098,16041.907,13425.96727195946,,7.6879469e-05
Brazil_15556010,62117996,126.24726,80.62896156311035,,0.001376472014
Brazil_15559000,62117967,249.56554,154.24648189544678,,0.000126324367
Brazil_15560000,62108811,541.79596,339.5186368156882,,0.001032618124
Brazil_15670000,62068779,674.3821,351.04056464301215,,5.5734222e-05
Brazil_15790000,62089166,701.5788,406.0321004231771,,0.000115042342745
Brazil_15795000,62084544,348.30682,183.7513425554548,,0.000746277672
Brazil_15820000,62099169,433.1009,259.5499049595424,,0.000315118953
Brazil_15828000,62084316,1155.2646,602.1547488806383,,0.000182827671
Brazil_15830000,62079106,2652.819,1384.8688144026132,,0.000118017339
Brazil_15910000,62074494,282.6813,151.50547805199255,,0.000831239713591
Brazil_15930000,62079365,102.656525,60.044421976262875,,3.3073986e-05
Brazil_16080000,62032875,481.53836,364.1915341331845,,0.001296051248
Brazil_16100000,62032858,520.6127,390.6786184310913,,6.1346734e-05
Brazil_16200000,62032616,512.676,532.9726696014404,,6.1541657e-05
Brazil_16368000,62027574,220.77998,174.52441961115056,,4.9121057e-05
Brazil_16370000,62013203,324.5811,292.66336822509766,,0.000313861325266
Brazil_16430000,62022433,829.64905,753.8301696777344,,0.003242284025
Brazil_16460000,62022432,1171.5255,1082.2861785888672,,0.000482622751
Brazil_16480000,62022395,475.73895,491.26939392089844,,0.000561389356
Brazil_16500000,62027456,629.08136,610.8124853515625,,2.5337071e-05
Brazil_16800000,62027494,729.0835,639.4316202799479,,0.000125416945
Brazil_17090000,62027516,428.78622,414.42389842442105,,0.000140707301
Brazil_17093000,62113575,1296.3082,825.8061157226563,,0.001465421815
Brazil_17095000,62118074,566.32935,341.89503725113406,,0.000771993587113
Brazil_17120000,62113594,823.882,503.8997369810592,,0.00031986299
Brazil_17122000,62108902,298.04715,199.75280396834663,,5.2470595e-05
Brazil_17123000,62108872,1249.6041,759.2962568234175,,5.95282e-05
Brazil_17130000,62084274,4080.3713,2436.54455078125,,1.37332e-05
Brazil_17200000,62131295,161.10225,95.54255574544271,,0.000250181837
Brazil_17280000,62118017,580.35,326.47110357517147,,0.000167387537
Brazil_17340000,62103788,921.13837,505.29268668038503,,0.000125446412
Brazil_17343000,62103947,250.35037,147.45851050482855,,3.0867494e-05
Brazil_17380000,62099011,1698.1353,918.0002039467416,,0.00079902108
Brazil_17610000,62074432,170.10631,105.83260726928711,,0.000372301515
Brazil_17675000,62068909,934.59534,511.4856284536966,,0.00023690729
Brazil_18119000,62038153,236.12419,185.2449951171875,,0.001628179578
Brazil_18200000,62032714,219.7965,182.67318513658313,,0.000411886054
Brazil_18415000,62131313,188.59052,131.83124160766602,,0.000520041316494
Brazil_18435000,62108971,70.42044,9.051577885945639,,0.0
Brazil_18436000,62103999,178.17836,89.48797697179458,,0.000546763722304
Brazil_18500000,62074102,741.77594,434.36288016183033,,0.0
Brazil_18520000,62063358,5063.68,2727.415867017663,,1.2581359e-05
Brazil_18590000,62068831,1381.219,723.903076171875,,0.000262546664312
Brazil_18640000,62079344,497.6433,280.358447265625,,2.6405944e-05
Brazil_18650000,62063455,874.9166,515.5765197753906,,0.000666580307
Brazil_18870000,62058464,149.8497,125.66521623399522,,0.00032629268
Brazil_18880000,62048146,306.92563,262.37098693847656,,0.000665736412011
Brazil_19150000,62022301,1541.6641,1411.7332763671875,,0.000237344269
Brazil_20050000,62139303,106.50453,68.20310602432642,,0.000845870972
Brazil_20090000,62139298,132.83736,80.21798226492746,,0.000566038558
Brazil_20250000,62142622,154.5894,110.95388684953961,,0.000980691881
Brazil_20489100,62139229,250.83386,178.10851135253907,,0.000995939994
Brazil_20490000,62139225,268.36438,190.2982211642795,,0.000691667134
Brazil_20500000,62135202,432.45102,270.79249572753906,,0.00050833319143
Brazil_21050000,62130936,739.9701,448.69317555982013,,0.000430072587
Brazil_21080000,62126764,818.4594,537.8215942382812,,0.000657591372
Brazil_21500000,62131258,178.07693,120.62396795853324,,0.000114020923
Brazil_21600000,62131033,238.96613,150.6121368408203,,0.000507305178
Brazil_21650000,62122327,338.2368,208.40886172732792,,0.000556655851
Brazil_21850000,62122635,158.44156,105.4700046338533,,0.000453136365
Brazil_21890000,62122589,190.0814,125.41279298608953,,0.000237936908
Brazil_21900000,62122324,535.05756,333.1912675337358,,0.000572901798
Brazil_22250000,62113626,118.49815,83.86989582909479,,0.000117058848
Brazil_22500000,62098864,2022.8696,1276.195502203864,,0.00015330488
Brazil_22900000,62098917,433.1651,287.02553100585936,,0.007247740149154
Brazil_23100000,62089107,2774.7246,1889.624306815011,,0.000583265686313
Brazil_24700000,62144999,591.6518,446.3816615513393,,0.000516749363
Brazil_24750000,62147124,90.89379,116.76415252685547,,0.002078229174
Brazil_24800000,62145120,159.6647,127.61621691385905,,0.000264698358
Brazil_24850000,62142290,767.7276,600.0363837348091,,0.000181741114
Brazil_25140000,62142296,22.460499,26.139082166883682,,0.000509167597502
Brazil_25200000,62139262,1048.7386,790.7038914073597,,0.000234035971
Brazil_25700000,62130980,1202.2102,873.558907063802,,2.3399551e-05
Brazil_25800000,62131175,172.70534,97.91303024291992,,0.000480750956
Brazil_25950000,62126801,1458.1729,1027.4982050115411,,3.5371028e-05
Brazil_26030000,62117862,1571.2915,1027.9769617716472,,1.6947065e-05
Brazil_26050000,62142403,311.66675,207.15378391996344,,6.7224483e-05
Brazil_26100000,62139322,438.78308,309.43948593139646,,0.002024104923631
Brazil_26150000,62139520,82.17392,61.00251030340427,,0.000174694342
Brazil_26200000,62135276,583.29205,415.1723238316978,,0.001148907344817
Brazil_26300000,62122310,745.89856,453.0322829026442,,4.5794372e-05
Brazil_26350000,62117856,2329.432,1509.880580357143,,0.0
Brazil_26800000,62103866,325.3542,186.61751507698222,,6.1361281e-05
Brazil_27110000,62099342,124.29089,83.59249782562256,,1.2546434e-05
Brazil_29100000,62063532,487.4236,345.6458625793457,,7.6093626331e-05
Brazil_30050000,61036133,685.2276,390.58668009440106,,0.001582123072
Brazil_30055000,61040745,131.85756,58.361385345458984,,2.3809771e-05
Brazil_30075000,61046098,47.379253,18.229768753051758,,0.00071724289
Brazil_30080000,61046359,367.3353,284.12549591064453,,0.000406368134
Brazil_30300000,61046557,382.3272,255.71762084960938,,0.000354666996
Brazil_30400000,61046686,1132.1888,765.931396484375,,0.002708776040612
Brazil_31490000,62033260,46.680847,27.267974662780762,,0.001752189097957
Brazil_31520000,62028015,73.20546,63.395042419433594,,0.000205099333
Brazil_31680000,62043092,338.50888,258.77491840563323,,0.002363542171751
Brazil_31700000,62037945,415.7961,296.7301205721769,,9.663503e-06
Brazil_32620000,63000434,286.87674,166.54244995117188,,0.000131898463
Brazil_33680000,63002488,209.89072,108.86322509765625,,3.0762375e-05
Brazil_33780000,63002553,71.18989,49.22517383098602,,0.000351666406887
Brazil_34060000,63014836,190.85309,58.57525787353516,,0.000294576546
Brazil_34070000,63013534,206.02141,67.78719981123761,,0.000211707873
Brazil_34311000,63012207,615.12744,236.59713745117188,,0.000334774462
Brazil_34660000,63008277,815.78644,310.3453140258789,,0.000340965379
Brazil_34690000,63006918,826.4006,299.965952192034,,0.000262407276
Brazil_34770000,63008316,65.39021,22.62704787047013,,0.001168924391321
Brazil_34790000,63006948,94.64038,43.7713254292806,,8.0690918e-05
Brazil_34820000,63004626,951.33514,324.3500061035156,,0.000868652824699
Brazil_34940000,63003660,32.901146,16.8837306048419,,0.001492491261141
Brazil_34980000,63002548,63.605324,195.68522505326703,,0.000973658012
Brazil_35170000,63001737,7.2550244,5.412280964851379,,0.00116510858
Brazil_36070000,63010992,4.0834303,39.939170837402344,,0.000497226475
Brazil_36320000,63009733,32.066177,55.219268798828125,,0.000278693573
Brazil_36390000,63006931,36.735924,44.22748565673828,,0.000180945624
Brazil_37410000,63012248,14.664446,43.48547172546387,,0.001060661586
Brazil_37470000,63010940,17.02363,31.3555485861642,,0.00083651869
Brazil_37710150,63008295,20.208288,13.797897338867188,,0.000300437885948
Brazil_37730000,63006939,20.44241,16.024903535842896,,0.000196377417
Brazil_37761000,63006933,20.607738,14.681244373321533,,0.000836128886574
Brazil_38880000,63013613,6.827121,14.253120422363281,,0.00065477915
Brazil_40150000,63042659,31.236212,38.71739986964634,,0.002168888108
Brazil_40850000,63041260,96.68379,76.8281463623047,,0.00040649841
Brazil_41818000,63039017,152.89041,106.10289764404297,,0.000137523833
Brazil_42210000,63035480,818.5271,595.7141845703125,,0.00094948358441
Brazil_42690001,63036395,207.01219,155.39302012959465,,5.0884377e-05
Brazil_42930000,63036375,269.22992,197.30540211995444,,0.000150478827
Brazil_42980000,63036373,270.18854,202.2146453857422,,0.000848958612777
Brazil_43200000,63035472,1122.2046,819.2948057113156,,0.000191640667
Brazil_43670000,63034583,124.23078,90.72845077514648,,9.8800832e-05
Brazil_43880000,63035538,152.45316,112.09888124465942,,0.00089875614203
Brazil_43980002,63034573,155.08475,115.43683904012045,,7.1040862e-05
Brazil_44200000,63034501,1315.4927,891.4816101074218,,6.1304541e-05
Brazil_45298000,63031293,1576.1266,1085.0289231903698,,8.5143449e-05
Brazil_45480000,63028966,1599.8809,1053.6915709480406,,3.2332824e-05
Brazil_46035000,63028167,1817.7227,1217.318798828125,,0.000127232365
Brazil_46998000,63024532,532.42206,295.5487907896651,,0.000302357454866
Brazil_48020000,63019919,2521.9536,1518.1783447265625,,0.000155801856
Brazil_48290000,63018615,2529.2698,1762.0243326822917,,0.000245838883
Brazil_48590000,63017295,2544.1887,1136.4718221028645,,0.000235445495
Brazil_49330000,63021220,2582.2192,1326.6518012152778,,0.000121515433
Brazil_49370000,63021209,2592.0115,2072.2412353515624,,0.004126458670725
Brazil_49705000,63022388,2632.5327,3645.060546875,,0.000290925037649
Brazil_51240000,63028989,16.175482,14.003374099731445,,0.000621671405
Brazil_51280000,63028201,18.82905,12.625651836395264,,0.000304275811
Brazil_51330000,63028187,21.732538,12.438155174255371,,0.00035951621
Brazil_51350000,63028182,22.899319,18.799227396647137,,0.000783905233
Brazil_51460000,63027380,3.2776296,5.870457172393799,,0.001141567455
Brazil_52404000,63030537,26.345661,43.44829559326172,,0.000833251397
Brazil_52405000,63030529,28.12416,28.69255542755127,,0.00093896963
Brazil_52570000,63030508,33.536217,31.8389741897583,,0.000408599291
Brazil_52680000,63031319,52.108723,36.60525321960449,,0.000562229958
Brazil_52695000,63031316,56.89915,63.765761375427246,,0.000906565598
Brazil_53170000,63032100,14.608142,14.189310073852539,,0.001547146332
Brazil_53180000,63032095,15.3151455,16.222646713256836,,0.001583841191
Brazil_54002990,63039115,15.179927,16.48941167195638,,0.001057674193
Brazil_54010005,63037238,50.151535,26.030279207229615,,0.000257185542
Brazil_54150000,63036391,81.45352,43.404920850481304,,0.001050860724
Brazil_54195000,63035534,101.30685,71.70186651320685,,0.000940323651
Brazil_54530000,63036382,172.52364,95.7279561360677,,0.000191081106
Brazil_54580000,63035511,187.84818,158.11482590895432,,0.000102503805
Brazil_54710000,63035494,202.17819,175.76975132868841,,0.000597022569
Brazil_54780000,63034543,232.03827,171.2382558186849,,0.00139921046
Brazil_54950000,63034522,243.17368,238.85332260131835,,0.000214633066
Brazil_55560000,63038158,24.392534,21.613554382324217,,0.000870486677
Brazil_55630000,63038147,41.26708,37.569340006510416,,0.000293197021
Brazil_55699998,63038137,53.34375,46.72079673180213,,0.000423731691
Brazil_56425000,63041936,103.262314,77.90060190054086,,0.000470874591
Brazil_56539000,63041923,147.52287,107.5208740234375,,0.001359860926672
Brazil_56719998,63041301,221.8631,161.83392639160155,,0.000604642031
Brazil_56820080,63040558,125.380035,82.66970157623291,,0.002394246614
Brazil_56825000,63041272,131.65457,67.49994049072265,,0.00089237856
Brazil_56846080,63040539,393.1682,239.21332465277777,,0.002679016194
Brazil_56850000,63040533,406.39236,283.1434980119978,,0.000451855174
Brazil_56891900,63039783,68.01311,41.70099612644741,,0.000861725039
Brazil_56920000,63040526,492.6856,279.2992606784986,,0.000841578093
Brazil_56948005,63041262,529.7594,336.9169642130534,,0.000960014722
Brazil_56990000,63041290,66.321655,45.88161897659302,,0.001866249725
Brazil_56992400,63041245,622.1367,439.9734191894531,,0.001457911692
Brazil_57450000,63043291,28.976349,30.66110406603132,,0.000582646601
Brazil_57460000,63043287,32.934822,30.978872299194336,,0.001263787498
Brazil_57555000,63043283,51.035164,48.49446052975125,,0.001788174782
Brazil_57580000,63043771,53.298805,51.58853530883789,,0.000207554008
Brazil_58096000,63045485,79.676636,72.77522450573039,,0.001720527611
Brazil_58128100,63045305,16.11833,14.801835589938694,,0.006524173214
Brazil_58152010,63045289,120.32944,115.01729325687184,,0.000439666697
Brazil_58158100,63045281,125.989716,119.04685846964519,,6.2801765e-05
Brazil_58204000,63044918,150.60782,145.404248046875,,7.6632786e-05
Brazil_58235000,63044904,181.56805,172.98662004972758,,0.00129610553
Brazil_58240080,63044645,195.95271,187.25570242745536,,0.004022370659
Brazil_58300001,63044897,226.80919,221.86898480039653,,0.000419172745
Brazil_58305001,63044635,229.57724,225.8254608803607,,0.000399923571
Brazil_58318002,63044630,236.38136,232.164208984375,,0.000641046645
Brazil_58620000,63044646,113.10281,99.97904968261719,,0.002626173803
Brazil_58630002,63044332,445.67236,417.51543884277345,,0.001391288001
Brazil_58636000,63044330,448.11206,696.8504028320312,,0.004043314384
Brazil_58651980,63044323,467.9229,427.0430972450658,,0.004180374765
Brazil_58795000,63044047,577.80505,565.1165771484375,,0.000604605199
Brazil_58880001,63044041,624.56757,611.094482421875,,0.000610745539
Brazil_58940000,63043741,58.240314,57.75501251220703,,0.00094658813
Brazil_58960000,63044054,64.663956,63.878561166616585,,0.000552404116
Brazil_58974000,63044310,700.84985,687.0453052520752,,0.000415417751
Brazil_60020000,64004331,33.249878,33.98316901070731,,0.000420513527
Brazil_60030000,64005735,68.21577,48.28263854980469,,0.00018334942
Brazil_60040000,64007316,93.4904,66.54806628292555,,0.000664880183
Brazil_60110000,64007510,19.031534,19.991781616210936,,0.002634833679
Brazil_60235005,64011028,66.487076,52.22732115954888,,0.002858582098938
Brazil_60320000,64010823,108.221375,80.77169320242746,,0.000210248380057
Brazil_60340000,64010805,241.82509,183.63390106201172,,1.5258464e-05
Brazil_60510010,64004273,176.98611,171.5158920288086,,0.001672032096
Brazil_60544990,64004264,235.49493,165.22954559326172,,0.000572263352
Brazil_60798000,64007353,165.61691,146.96297273181733,,0.000675571117
Brazil_60805000,64007253,359.41443,289.9669407435826,,0.000849972784
Brazil_60905000,64008952,211.07951,184.08322668075562,,0.000663271155
Brazil_60907000,64010781,220.69196,198.07288469587053,,0.00148519837
Brazil_60920000,64008901,168.15173,138.75884246826172,,0.000983418406
Brazil_60950000,64010728,94.66408,97.13942432403564,,0.000845310073
Brazil_60968000,64010956,60.98166,52.708574971845074,,0.003312428461
Brazil_60970000,64010946,67.787,45.25161361694336,,0.002409183947263
Brazil_61061080,64020386,101.03718,82.03968637639827,,0.004236000839
Brazil_61135000,64020573,81.28762,67.75052839006696,,0.001776544777
Brazil_61202000,64018401,25.10974,21.164996840737082,,0.000863281282
Brazil_61305000,64025957,60.893875,114.03166961669922,,0.000150002998
Brazil_61410000,64023327,136.36551,122.52178865320542,,0.000173938659
Brazil_61425000,64023296,160.40326,144.98317323882003,,0.000414940186
Brazil_61510000,64023612,74.14148,72.01500211443219,,0.000186686954
Brazil_61537000,64020661,100.617355,86.4467544555664,,0.00060435328
Brazil_61661000,64017595,750.5204,608.5319519042969,,0.013968210172
Brazil_61740080,64012979,905.47754,759.3123009723166,,0.001336206466
Brazil_61787000,64015500,66.74625,61.0567741394043,,0.001163035891
Brazil_61788000,64015496,69.93637,63.73605155944824,,0.000277649277
Brazil_61796080,64015278,1060.7788,895.0697126116071,,0.001977802095
Brazil_61811080,64023590,47.22322,35.343252182006836,,0.015418516569
Brazil_61818080,64023412,73.65154,67.1362346013387,,0.006875665683
Brazil_61819080,64023402,74.39185,68.25185095745584,,0.004181802301
Brazil_61830000,64020602,121.1897,114.20440449434169,,0.000293388046
Brazil_61834000,64020569,144.14252,132.58903376261392,,0.000315657628
Brazil_61855000,64017772,163.10577,150.9285391530683,,0.000416926055
Brazil_61884002,64025925,52.712563,68.76592483520508,,0.000670029
Brazil_61902000,64023273,110.85279,103.89557295579176,,0.000138030063
Brazil_61910000,64023261,132.70764,124.76529509445717,,0.000194446466
Brazil_61912000,64020503,145.08025,137.50112609863282,,0.000236979429
Brazil_61915005,64017711,172.1326,162.23818680335737,,5.4629774e-05
Brazil_61925000,64015429,372.8175,333.0674721854074,,0.000512738408
Brazil_63001500,64013193,97.12476,94.50920985295222,,0.001575344273
Brazil_63002000,64013148,210.7798,196.9566192626953,,0.000832852166
Brazil_63003100,64015457,221.3416,202.04605407714843,,0.001026304665
Brazil_63280000,64015566,102.38774,103.56580451682761,,0.001904310118
Brazil_63350100,64015542,135.04965,140.70237404959542,,0.000269038165
Brazil_63390000,64017815,170.79607,161.97280766413763,,0.000375928041
Brazil_63900001,64015591,83.55145,81.07668086460659,,0.001123905414
Brazil_63979000,64023214,295.295,284.8403188344595,,0.000519450542
Brazil_64391000,64031435,68.1715,67.36950047810872,,0.000331978439
Brazil_64447000,64038317,81.14337,82.02149514590992,,0.000467318151029
Brazil_64465000,64038300,123.256294,123.97354125976562,,0.001447757555
Brazil_64482000,64036018,195.39987,194.23379364013672,,0.001209219566
Brazil_64491000,64036010,216.50568,216.86421497051532,,0.002942389634
Brazil_64501000,64033524,244.08087,241.3795060782597,,0.000615366551
Brazil_64504700,64030991,272.57523,268.4103056808998,,0.002048633747
Brazil_64506000,64030989,273.28888,269.4998878810717,,0.001047412848
Brazil_64507000,64030987,274.0638,269.9157283388335,,0.000441048131
Brazil_64517000,64028396,741.48627,729.0999843052456,,0.0
Brazil_64617000,64025845,290.1853,284.71681213378906,,0.000196471487
Brazil_64625000,64038406,52.049885,52.119346380233765,,0.001206454211741
Brazil_64645000,64036076,118.86587,117.69205305311415,,0.00118785568
Brazil_64655000,64036068,164.79298,165.07798767089844,,0.001267268693
Brazil_64660500,64033569,228.69958,226.58857816808364,,0.00124432610795
Brazil_64675002,64033559,263.77188,261.9587635713465,,0.001030447149
Brazil_64685000,64031073,303.6495,297.29075805664064,,1.159245e-05
Brazil_64689000,64031059,328.8975,322.0735418146307,,0.000253764139
Brazil_64689005,64031057,331.92,327.04694580078126,,0.00012186549
Brazil_64693000,64031050,347.797,337.32614533797556,,5.6762989e-05
Brazil_64767000,64038262,45.691994,44.45362003644308,,0.000220543109
Brazil_64771500,64038256,54.183678,51.819157155354816,,0.000763071645
Brazil_64776100,64038254,93.355705,91.07742527553013,,6.7774879e-05
Brazil_64795000,64038246,143.0339,137.8251718374399,,0.000814742728
Brazil_64799500,64035927,165.14088,160.64517974853516,,0.005312979757448
Brazil_65220001,64044755,243.52002,252.75964069366455,,8.267262e-06
Brazil_65310001,64044733,349.58215,357.8951677594866,,0.000136924667
Brazil_65775901,64045285,34.855988,37.980050563812256,,0.003381882457
Brazil_65815050,64042764,40.929382,42.917881556919646,,0.005101668511
Brazil_65825000,64042752,74.315636,75.05563950538635,,0.00226576848
Brazil_65855000,64043090,21.372068,21.693445099724663,,0.003919189694
Brazil_65895002,64042556,762.38806,758.7060467755354,,0.006751536617
Brazil_65925000,64044951,38.718475,39.711758041381835,,0.002775668892
Brazil_65927000,64044924,78.06692,78.05290655656295,,0.000638916253
Brazil_65955000,64042802,32.23283,31.78903102874756,,0.001514855503
Brazil_65960000,64042678,140.185,138.852785550631,,0.001051850128
Brazil_65985000,64042540,1086.7666,1074.5328979492188,,0.000693647207
Brazil_65986000,64042538,1095.978,1074.5850059107731,,0.000357845388281
Brazil_65992500,64042521,1149.7148,1157.6598623770255,,0.007562133312
Brazil_66050000,64000168,121.9652,79.90208733600119,,0.000552586538
Brazil_66055000,64000674,175.4213,130.45468521118164,,0.000324523438
Brazil_66070004,64001834,465.2229,350.135693359375,,0.00011681132
Brazil_66090000,64002929,598.229,440.98175048828125,,7.1988615e-05
Brazil_66120000,64004220,655.9071,473.31578063964844,,2.2577396e-05
Brazil_66162000,64000214,32.334496,55.64675188064575,,0.000772484469
Brazil_66231000,64000200,110.710144,69.43998794555664,,0.000673289331
Brazil_66250001,64000189,183.27118,115.67049758911133,,0.000177953167
Brazil_66255000,64000685,207.37927,134.17984974141024,,0.000793475404
Brazil_66260001,64001158,227.37921,161.506103515625,,4.7237247e-05
Brazil_66260002,64001159,223.81543,149.0151824951172,,0.000341060807
Brazil_66280000,64001851,264.0901,183.47179748535157,,0.000206284402423
Brazil_66360000,64002958,314.0166,236.01656256781683,,0.000128487988
Brazil_66370000,64004255,315.45786,242.53171400590375,,0.000208507702
Brazil_66430000,64001983,51.98771,36.503075339577414,,0.000424416432
Brazil_66450001,64001836,171.33203,133.79121937471277,,0.000294008677
Brazil_66600000,64004284,219.91705,190.06200958251952,,0.000757165620738
Brazil_66650000,64004278,233.37273,199.18739807128907,,0.000328863876
Brazil_66710000,64004198,892.5681,706.0691312902114,,0.000149588183
Brazil_66800000,64007219,1943.0675,1509.3654430758568,,0.000273574417459
Brazil_66810000,64007194,1984.9645,1399.4849243164062,,3.973781e-05
Brazil_66845000,64007227,135.21086,120.74841451644897,,0.000501941226
Brazil_66870000,64007217,333.2946,308.4013397216797,,0.000401253061
Brazil_66885000,64007208,344.76727,318.3923568725586,,0.00024481311
Brazil_66895000,64010703,2460.6384,2018.5343640136718,,0.000167201072461
Brazil_67100000,64023084,3375.1165,3256.3191817434213,,0.000272027858751
Brazil_70700000,64053912,164.35104,168.1153450012207,,0.000444252275
Brazil_72300000,64051441,538.4855,546.75498046875,,0.000493369019
Brazil_72430000,64051709,27.310411,29.096688930804913,,0.000166908126
Brazil_72715000,64047505,16.154089,16.95534610748291,,0.00407633217
Brazil_72810000,64049307,35.102383,35.60891878604889,,0.002535310605
Brazil_72849000,64049258,59.645267,59.79036092758179,,0.001272423708
Brazil_72980000,64049241,81.52737,80.70333607991536,,0.001129272128
Brazil_73010000,64049082,740.7963,734.9336838495163,,0.001450037144
Brazil_73550000,64049056,987.29974,978.796620088465,,0.000301922461112
Brazil_73600000,64047464,44.235916,45.429172939724396,,0.008675665329
Brazil_73600600,64047249,65.147766,65.78298011192909,,0.005084900299
Brazil_73770000,64047187,138.54567,135.34140244969782,,0.001009342634
