,date,glow-mean,Z,Q,correct_maxRiverWidth
70,2015-05-22,245.3224647226305,92.62,1020.0,276.41697512026184
71,2015-06-14,233.334822670864,91.63,482.0,272.2757269965278
72,2015-08-26,251.65024422128351,92.92,1230.0,260.887771041305
73,2015-09-02,244.757891140898,92.0,660.0,280.5579615840205
74,2015-10-20,216.814847009476,90.66,144.0,215.33731960720488
75,2016-06-25,241.493945535727,91.56,487.0,256.74684583875865
76,2016-08-19,224.5501532175305,91.01,275.0,265.0291414614077
77,2016-08-28,209.55151145262948,90.62,149.0,217.40765380859378
78,2016-09-13,250.450665169406,92.1,737.0,275.3816739682798
79,2016-10-06,244.757891140898,91.03,282.0,274.3469275580512
80,2017-05-11,181.481361638701,90.54,155.0,185.31485810456454
81,2017-06-12,224.716385370639,91.04,278.0,243.28835415310328
82,2017-07-05,136.40381487007755,90.4,125.0,170.8216380931713
83,2017-07-21,215.49564750112552,90.73,198.0,238.11285321270978
84,2017-08-15,234.0829030635195,91.5,450.0,251.5702594898365
85,2017-08-31,251.65024422128351,92.54,985.0,269.16996301721645
86,2017-10-09,239.840874791592,90.93,248.0,262.9589716028284
87,2017-10-25,215.0623209309,90.48,142.0,190.49158472131796
88,2018-08-02,235.222503162803,91.15,366.0,240.18297435619215
89,2018-09-10,211.650212031866,90.83,256.0,251.57100355360242
90,2018-10-05,237.67514826691303,91.3,423.0,260.88774685329867
91,2002-10-16,76.9932803964496,90.32,95.4,101.45706481933594
92,2011-07-21,241.773291712216,90.95,288.42857142857144,228.79374412254052
