,COMID,slope,ID,glow_lat,glow_lon,stationid,gage_lat,gage_lon,distance,COMID-mean,q50
32,71025481,0.000357906510584,R71025481XS0329130,52.29416666669145,-88.74999293053637,GRDC_4214430,52.2938,-88.7562,12004509.64901678,107.07907287129883,40.066456
33,71029355,0.000290312277,R71029355XS0373577,51.33000000059507,-83.83272798997872,GRDC_4214520,51.3271,-83.8396,11456958.108207203,626.9732774408861,1140.524
34,71029355,0.000290312277,R71029355XS0373578,51.3291666671132,-83.83484799943325,GRDC_4214520,51.3271,-83.8396,11456958.108207203,626.9732774408861,1140.524
35,71031472,0.000654819598,R71031472XS0396967,51.07295035204683,-80.76538298624548,GRDC_4214560,51.0771,-80.7646,11153634.1880405,167.50423162176284,56.929924
36,71031472,0.000654819598,R71031472XS0396968,51.07144226628658,-80.76689107097525,GRDC_4214560,51.0771,-80.7646,11153634.1880405,167.50423162176284,56.929924
37,71031599,0.001797565901,R71031599XS0398146,51.04916666743808,-114.04953298664688,Canada_05BH004,51.050270080566406,-114.05146026611328,14307027.161692968,115.08137458935454,70.12412
38,71033468,0.000342654679,R71033468XS0415656,50.90166666694821,-110.29324861200276,Canada_05CK004,50.90277862548828,-110.29953002929688,13925046.880594278,149.23063312781667,59.442978
39,71033602,0.000733217881,R71033602XS0418378,50.74833333411118,-112.53626883437892,Canada_05BM004,50.75017929077149,-112.54225158691406,14133323.39714283,217.83078978077376,102.86235
40,71035558,0.000488247696,R71035558XS0438086,50.58166666741979,-82.10627658305327,GRDC_4214531,50.5813,-82.1146,11223924.655346138,233.5740325259696,188.3954
41,71035558,0.000488247696,R71035558XS0438087,50.58083333343632,-82.10836274205303,GRDC_4214531,50.5813,-82.1146,11223924.655346138,233.5740325259696,188.3954
42,71037430,7.080476e-05,R71037430XS0455860,50.14750000074593,-96.85705750859324,Canada_05OJ005,50.1456413269043,-96.8651123046875,12558319.513365032,182.94000063543143,290.66107
43,71037430,7.080476e-05,R71037430XS0455861,50.14666666673922,-96.85914596238229,Canada_05OJ005,50.1456413269043,-96.8651123046875,12558319.513365032,182.94000063543143,290.66107
44,71037496,0.000475276629,R71037496XS0456426,50.04547855245296,-110.67202145129168,GRDC_4213250,50.0438,-110.6771,13892777.27645488,162.8975105769276,181.10626
45,71039306,5.8300828e-05,R71039306XS0474260,49.77935412514402,-97.13231254444348,Canada_05OC008,49.78499984741211,-97.13356018066406,12552255.200494563,126.79849863222032,178.9431
46,71039325,0.004325806567,R71039325XS0474595,49.881201846990606,-81.5662018430744,GRDC_4214515,49.8854,-81.5687,11104361.345582245,293.38147458770817,178.64238
47,71039325,0.004325806567,R71039325XS0474596,49.87950847932074,-81.56534180881327,GRDC_4214515,49.8854,-81.5687,11104361.345582245,293.38147458770817,178.64238
48,71039402,0.000353140492,R71039402XS0475480,50.04660977390013,-111.5841097725883,Canada_05BN012,50.04727935791016,-111.5909194946289,13983012.257722542,129.48305710108292,103.52393
49,71039402,0.000353140492,R71039402XS0475481,50.04750000021481,-111.58756192022494,Canada_05BN012,50.04727935791016,-111.5909194946289,13983012.257722542,129.48305710108292,103.52393
50,71040972,0.000336918999,R71040972XS0488856,49.55702217588864,-97.18131116151412,GRDC_4213683,49.5521,-97.1854,12537641.58353928,105.70643303288752,167.31693
51,71040972,0.000336918999,R71040972XS0488857,49.55583333396662,-97.18308207338237,GRDC_4213683,49.5521,-97.1854,12537641.58353928,105.70643303288752,167.31693
52,71041065,0.000985225871,R71041065XS0489731,49.41362996961144,-82.43612996600247,Canada_04LF001,49.41442108154297,-82.43994140625,11137887.955850566,145.5404951886718,52.07506
53,71041065,0.000985225871,R71041065XS0489732,49.413333334040566,-82.43363865760845,Canada_04LF001,49.41442108154297,-82.43994140625,11137887.955850566,145.5404951886718,52.07506
54,71042538,0.000130502069,R71042538XS0500828,49.31149453095673,-82.04183880547647,Canada_04LD001,49.31378173828125,-82.04313659667969,11092238.406054197,102.7645720414088,90.77766
55,71042538,0.000130502069,R71042538XS0500829,49.30986457181949,-82.0426354307547,Canada_04LD001,49.31378173828125,-82.04313659667969,11092238.406054197,102.7645720414088,90.77766
56,71043850,0.000759019004,R71043850XS0511989,48.74004572563775,-92.2841666666706,Canada_05PB009,48.74443817138672,-92.28472137451172,11998196.77985135,442.3714717486191,41.686913
57,71043850,0.000759019004,R71043850XS0511990,48.74275716711389,-92.2841666666828,Canada_05PB009,48.74443817138672,-92.28472137451172,11998196.77985135,442.3714717486191,41.686913
58,71044993,3.8290853e-05,R71044993XS0519168,48.63455014878887,-93.90705014458123,Canada_05PC018,48.63447189331055,-93.91336059570312,12143899.608531376,235.0095758965067,333.61017
59,71044993,3.8290853e-05,R71044993XS0519169,48.63416666740316,-93.9046463697422,Canada_05PC018,48.63447189331055,-93.91336059570312,12143899.608531376,235.0095758965067,333.61017
60,72003611,5.7895374e-05,R72003611XS0625715,58.64481769199519,-70.42518231244372,GRDC_4214940,58.6479,-70.4229,11249085.625372086,511.1182036517404,440.0832
61,72005223,0.000296044258,R72005223XS0658706,57.68083333383622,-69.62185513697581,GRDC_4214035,57.6813,-69.6271,11041347.074443595,280.7322276529034,445.07547
62,72005223,0.000296044258,R72005223XS0658707,57.68083333347812,-69.62495565186616,GRDC_4214035,57.6813,-69.6271,11041347.074443595,280.7322276529034,445.07547
63,72005231,0.001176233877,R72005231XS0658931,57.87629087633102,-67.58712420481972,GRDC_4214900,57.877100000000006,-67.5896,10912754.29158382,354.06381635125155,333.6273
64,72005231,0.001176233877,R72005231XS0658932,57.87500000066079,-67.58529591496776,GRDC_4214900,57.877100000000006,-67.5896,10912754.29158382,354.06381635125155,333.6273
65,72006037,0.001117600718,R72006037XS0677115,57.43350287050678,-69.23816380027205,GRDC_4214040,57.4354,-69.2437,10974987.487974096,424.37604470372105,1317.132
66,72006037,0.001117600718,R72006037XS0677116,57.43275046521635,-69.24058287345119,GRDC_4214040,57.4354,-69.2437,10974987.487974096,424.37604470372105,1317.132
67,72006944,7.1993822e-05,R72006944XS0696136,56.78916666684861,-64.89838772330165,GRDC_4214905,56.7896,-64.9062,10544712.78340397,613.9818337501174,296.40802
68,72006944,7.1993822e-05,R72006944XS0696137,56.78916666680627,-64.89745897812291,GRDC_4214905,56.7896,-64.9062,10544712.78340397,613.9818337501174,296.40802
69,72006944,7.1993822e-05,R72006944XS0696138,56.789166667074994,-64.89653023495605,GRDC_4214905,56.7896,-64.9062,10544712.78340397,613.9818337501174,296.40802
70,72010913,0.004267844713,R72010912XS0776298,55.22750000069717,-76.9919956234293,GRDC_4214801,55.2313,-76.9854,11304277.499227354,345.6115160548249,608.9323
71,72010913,0.004267844713,R72010912XS0776299,55.227500000698384,-76.99033064050384,GRDC_4214801,55.2313,-76.9854,11304277.499227354,345.6115160548249,608.9323
72,72010913,0.004267844713,R72010912XS0776300,55.22816214297753,-76.98933786074346,GRDC_4214801,55.2313,-76.9854,11304277.499227354,345.6115160548249,608.9323
73,72010913,0.004267844713,R72010912XS0776301,55.22833333404221,-76.98784664302718,GRDC_4214801,55.2313,-76.9854,11304277.499227354,345.6115160548249,608.9323
74,72010913,0.004267844713,R72010913XS0776304,55.23225478532158,-76.98475478149238,GRDC_4214801,55.2313,-76.9854,11304277.499227354,345.6115160548249,608.9323
75,72010913,0.004267844713,R72010913XS0776305,55.23255523071049,-76.98755522956944,GRDC_4214801,55.2313,-76.9854,11304277.499227354,345.6115160548249,608.9323
76,72010970,0.001570391119,R72010970XS0777430,55.23147993173466,-61.29647992868567,Canada_03NF001,55.23413848876953,-61.30168914794922,10044719.064904949,222.393783789725,125.004776
77,72011018,0.000563857039,R72011018XS0778569,55.00418964187966,-77.06583333337726,GRDC_4214810,55.0063,-77.0687,11282097.392333744,234.4724828274752,91.29904
78,72012029,0.001185423958,R72012029XS0803476,54.62583333366391,-60.97990133421171,GRDC_4244450,54.627100000000006,-60.9812,9934892.903284704,128.07824883410075,155.90233
79,72012052,0.000404873866,R72012052XS0803911,54.85000000046114,-73.98432724302164,GRDC_4214830,54.8521,-73.9896,11003906.244295249,308.52526681457147,337.0579
80,72016320,0.001327622063,R72016320XS0867695,53.53078126560288,-57.49416666685634,Canada_03QC001,53.5342788696289,-57.49385833740234,9519541.193461375,197.9247748028212,234.68027
81,72016320,0.001327622063,R72016320XS0867696,53.52922185037221,-57.49494481785368,Canada_03QC001,53.5342788696289,-57.49385833740234,9519541.193461375,197.9247748028212,234.68027
82,72017681,0.000687587121,R72017681XS0891021,53.16585271272138,-74.47331395444739,GRDC_4214760,53.1688,-74.4729,10836688.067964382,333.46513556114,175.81313
83,72017681,0.000687587121,R72017681XS0891023,53.16500000044422,-74.46985099583533,GRDC_4214760,53.1688,-74.4729,10836688.067964382,333.46513556114,175.81313
84,72020771,0.002277016622,R72020771XS0950237,52.1700000006426,-74.58775016798747,GRDC_4214701,52.1688,-74.5937,10730186.773010535,190.11610723927467,311.56415
85,72020771,0.002277016622,R72020771XS0950238,52.17000000058426,-74.59061905257353,GRDC_4214701,52.1688,-74.5937,10730186.773010535,190.11610723927467,311.56415
86,72020931,0.000422992462,R72020931XS0953398,52.229166667485046,-61.32372748942844,GRDC_4244610,52.2313,-61.3271,9640805.911139837,151.18845560573965,76.857574
87,72020931,0.000422992462,R72020931XS0953399,52.22951548332024,-61.32618214616381,GRDC_4244610,52.2313,-61.3271,9640805.911139837,151.18845560573965,76.857574
88,72021151,0.003985993682,R72021151XS0958002,52.44699036073301,-56.292176311862455,Canada_03QC003,52.44686126708984,-56.29758071899414,9281907.444701103,176.53216578245747,53.15473
89,72022321,0.00102336844,R72022321XS0983585,51.84399152766777,-60.11899152510014,GRDC_4244655,51.8479,-60.1229,9496804.591062335,153.67079580048068,221.59824
90,72022321,0.00102336844,R72022321XS0983586,51.84500000005378,-60.12081964476139,GRDC_4244655,51.8479,-60.1229,9496804.591062335,153.67079580048068,221.59824
91,72023784,0.000561866805,R72023784XS1010946,51.4503599816478,-76.86130669013068,GRDC_4214680,51.4479,-76.8646,10847301.823647238,282.599505742818,612.7394
92,72023784,0.000561866805,R72023784XS1010947,51.45097885316984,-76.85902114983288,GRDC_4214680,51.4479,-76.8646,10847301.823647238,282.599505742818,612.7394
93,72023919,0.00099635724,R72023919XS1013008,51.53750000075821,-78.09209977292765,GRDC_4214690,51.5354,-78.0979,10965256.820323585,147.37587066610453,73.53265
94,72028410,0.000959370469,R72028410XS1095896,50.34814088359772,-66.19269245369591,GRDC_4243800,50.3521,-66.1896,9808365.87013755,173.26089707182217,325.22495
95,72028410,0.000959370469,R72028410XS1095897,50.35003147622687,-66.19080185791698,GRDC_4243800,50.3521,-66.1896,9808365.87013755,173.26089707182217,325.22495
96,72029827,0.000622620650984,R72029827XS1117591,49.98312453150866,-79.09500000027118,GRDC_4114615,49.9854,-79.0937,10890894.519091716,152.9568956351142,98.85607
97,72029827,0.000622620650984,R72029827XS1117592,49.98186521641579,-79.095000000262,GRDC_4114615,49.9854,-79.0937,10890894.519091716,152.9568956351142,98.85607
98,72029827,0.000622620650984,R72029827XS1117593,49.98064219605343,-79.0948088599531,GRDC_4114615,49.9854,-79.0937,10890894.519091716,152.9568956351142,98.85607
99,72031451,0.001667185777,R72031451XS1140665,49.23471361145219,-57.36778639386173,GRDC_4244730,49.23960000000001,-57.36460000000001,8958231.562840646,92.01415608026002,50.14052
100,72031451,0.001667185777,R72031451XS1140666,49.23580389307532,-57.366696107727584,GRDC_4244730,49.23960000000001,-57.36460000000001,8958231.562840646,92.01415608026002,50.14052
101,72031451,0.001667185777,R72031451XS1140667,49.236894183461786,-57.36560582121438,GRDC_4244730,49.23960000000001,-57.36460000000001,8958231.562840646,92.01415608026002,50.14052
102,72032850,0.000575407673,R72032850XS1161688,49.01702099641138,-54.8461876596724,GRDC_4244770,49.0146,-54.8521,8733735.110516068,148.91602453303585,100.461044
103,72034292,8.2656176e-05,R72034292XS1182575,48.343649974197255,-89.35250000009053,Canada_02AB025,48.34785842895508,-89.35327911376953,11684953.329974696,60.43956942824425,62.253902
104,72034292,8.2656176e-05,R72034292XS1182576,48.34250000009485,-89.35336033590976,Canada_02AB025,48.34785842895508,-89.35327911376953,11684953.329974696,60.43956942824425,62.253902
105,72036120,0.000704061707,R72036120XS1201877,47.90639738407157,-66.9463973810959,Canada_01BJ007,47.908668518066406,-66.94805908203125,9604586.315798666,129.43779717011924,102.5726
106,72036120,0.000704061707,R72036120XS1201878,47.90497044014947,-66.94497043968408,Canada_01BJ007,47.908668518066406,-66.94805908203125,9604586.315798666,129.43779717011924,102.5726
107,72039942,0.000180800197009,R72039942XS1250509,47.20666666726875,-68.95396518207245,Canada_01AD003,47.20661163330078,-68.95693969726561,9708083.213927353,282.2045734883486,15.905532
108,72041693,0.00314026027,R72041693XS1272456,46.81834024036205,-67.74915975980726,Canada_01AG003,46.81636047363281,-67.75196838378906,9563833.242436264,118.85212093298075,76.01973
109,72041693,0.00314026027,R72041693XS1272457,46.81739283204463,-67.75094050359759,Canada_01AG003,46.81636047363281,-67.75196838378906,9563833.242436264,118.85212093298075,76.01973
110,72041723,0.00244884203,R72041723XS1272867,46.58892619802391,-71.21559286197113,GRDC_4243360,46.5896,-71.2146,9848456.62516016,159.2834192591572,71.558105
111,72041723,0.00244884203,R72041723XS1272868,46.586024184013134,-71.21435751500775,GRDC_4243360,46.5896,-71.2146,9848456.62516016,159.2834192591572,71.558105
112,72041736,0.002322643544,R72041736XS1272936,46.69851275569563,-92.42000000001032,USGS_04024000,46.703276,-92.418802,11840817.475303378,92.14846611258491,48.677185
113,72041736,0.002322643544,R72041736XS1272937,46.70025750457959,-92.41974249883832,USGS_04024000,46.703276,-92.418802,11840817.475303378,92.14846611258491,48.677185
114,72041774,0.005159844596,R72041774XS1273497,47.03583333405493,-67.73443353080329,Canada_01AF002,47.03889083862305,-67.73972320556639,9584064.939767446,147.50834700048833,300.6597
115,72041774,0.005159844596,R72041774XS1273498,47.03693493935357,-67.73610160313439,Canada_01AF002,47.03889083862305,-67.73972320556639,9584064.939767446,147.50834700048833,300.6597
116,72041847,0.002580072632,R72041847XS1274370,46.7941666668497,-67.67745121294863,GRDC_4231620,46.7938,-67.6812,9554822.91592372,189.0311290331924,57.445198
117,72041847,0.002580072632,R72041847XS1274371,46.794197384964455,-67.6749692824339,GRDC_4231620,46.7938,-67.6812,9554822.91592372,189.0311290331924,57.445198
118,72041847,0.002580072632,R72041847XS1274372,46.79500000070434,-67.67307891622191,GRDC_4231620,46.7938,-67.6812,9554822.91592372,189.0311290331924,57.445198
119,72043746,0.000379033573,R72043746XS1295776,46.467761808855805,-67.58973819556286,GRDC_4231601,46.4688,-67.5896,9515045.153185688,276.7134730861559,472.10577
120,72043746,0.000379033573,R72043746XS1295777,46.46874169363068,-67.58875831149419,GRDC_4231601,46.4688,-67.5896,9515045.153185688,276.7134730861559,472.10577
121,72045931,0.001769039919,R72045931XS1320890,45.86250000062582,-72.44728136703284,GRDC_4243270,45.8604,-72.4521,9891291.9344487,369.8825873252084,140.76454
122,72045931,0.001769039919,R72045931XS1320891,45.86250000080808,-72.44459165199382,GRDC_4243270,45.8604,-72.4521,9891291.9344487,369.8825873252084,140.76454
123,72046206,0.002253572087,R72046206XS1322766,45.94554011922487,-88.2080401158343,USGS_04062011,45.947453,-88.215411,11374342.638273455,138.50053391175882,19.20837
124,72046206,0.002253572087,R72046206XS1322767,45.94465270631305,-88.20951396433193,USGS_04062011,45.947453,-88.215411,11374342.638273455,138.50053391175882,19.20837
125,72046206,0.002253572087,R72046206XS1322768,45.944677670911176,-88.21134433405146,USGS_04062011,45.947453,-88.215411,11374342.638273455,138.50053391175882,19.20837
126,72046206,0.002253572087,R72046206XS1322769,45.94615151860425,-88.21281818176145,USGS_04062011,45.947453,-88.215411,11374342.638273455,138.50053391175882,19.20837
127,72047908,0.001184193154,R72047908XS1339215,45.39917856523587,-73.25667856505493,GRDC_4243240,45.4021,-73.2562,9922714.632595072,323.4687924342453,315.6722
128,72047908,0.001184193154,R72047908XS1339216,45.39759690048686,-73.25593023249881,GRDC_4243240,45.4021,-73.2562,9922714.632595072,323.4687924342453,315.6722
129,72047908,0.001184193154,R72047908XS1339217,45.39616733940558,-73.25450066965097,GRDC_4243240,45.4021,-73.2562,9922714.632595072,323.4687924342453,315.6722
130,72047911,0.001044165663,R72047911XS1339270,45.48361390941795,-87.80138609420948,USGS_04066030,45.481913,-87.802338,11298095.054797372,168.2790692055112,60.183353
131,72047911,0.001044165663,R72047911XS1339271,45.48472129505209,-87.79944537523019,USGS_04066030,45.481913,-87.802338,11298095.054797372,168.2790692055112,60.183353
132,72047912,0.00088641791392,R72047912XS1339351,45.57251593858666,-87.78666666667696,USGS_04066003,45.57941,-87.787063,11303860.04434834,70.82666264273455,59.116283
133,72047912,0.00088641791392,R72047912XS1339352,45.57431248545007,-87.78666666674589,USGS_04066003,45.57941,-87.787063,11303860.04434834,70.82666264273455,59.116283
134,72049478,0.000310832355,R72049478XS1352217,45.32171969533359,-87.66083333336684,USGS_04067500,45.325809,-87.663446,11271845.139249152,102.8213767606066,71.9698
135,72049478,0.000310832355,R72049478XS1352218,45.323482686269855,-87.66098268413444,USGS_04067500,45.325809,-87.663446,11271845.139249152,102.8213767606066,71.9698
136,72049478,0.000310832355,R72049478XS1352219,45.32512603540324,-87.6616666667388,USGS_04067500,45.325809,-87.663446,11271845.139249152,102.8213767606066,71.9698
137,72049480,0.000216034108,R72049480XS1352264,45.38822796660983,-87.70010536851507,USGS_04066800,45.387195,-87.70205899999998,11280633.795087667,71.67278896596576,68.30503
138,72050909,0.001801745892,R72050909XS1362531,44.66083333410257,-84.12375640396304,USGS_04136500,44.660014,-84.131117,10879576.161429984,334.17280590475696,31.437067
139,72050909,0.001801745892,R72050909XS1362532,44.661281687322,-84.12538498345963,USGS_04136500,44.660014,-84.131117,10879576.161429984,334.17280590475696,31.437067
140,72052253,0.000975192696,R72052253XS1375875,44.31666666742795,-88.19039897076654,USGS_04084500,44.317489,-88.197326,11245314.46993024,250.90060122584143,85.44204
141,72052253,0.000975192696,R72052253XS1375876,44.31583333387659,-88.19230684018157,USGS_04084500,44.317489,-88.197326,11245314.46993024,250.90060122584143,85.44204
142,72052261,0.001380387739,R72052261XS1375998,44.25142761503974,-88.41773905482417,USGS_04084445,44.248042,-88.423163,11262594.266022246,175.5906186001589,84.96649
143,72052261,0.001380387739,R72052261XS1375999,44.24996789839705,-88.41919876884846,USGS_04084445,44.248042,-88.423163,11262594.266022246,175.5906186001589,84.96649
144,72052394,0.00231758914,R72052394XS1377138,44.36583333391741,-85.82478644449826,USGS_04124200,44.36306,-85.82090500000002,11019083.08122614,390.29277750471306,26.533922
145,72052394,0.00231758914,R72052394XS1377139,44.36473739161135,-85.82307072195677,USGS_04124200,44.36306,-85.82090500000002,11019083.08122614,390.29277750471306,26.533922
146,72052394,0.00231758914,R72052394XS1377143,44.36345315002373,-85.81654685196214,USGS_04124200,44.36306,-85.82090500000002,11019083.08122614,390.29277750471306,26.533922
147,72052394,0.00231758914,R72052394XS1377144,44.36508189045965,-85.81583333340032,USGS_04124200,44.36306,-85.82090500000002,11019083.08122614,390.29277750471306,26.533922
148,72052462,0.005452388562,R72052462XS1377673,44.50632330793771,-74.88666666712119,USGS_04267500,44.51173,-74.882972,9994933.736020127,263.74946668202307,38.529144
149,72052462,0.005452388562,R72052462XS1377674,44.507940522293794,-74.88583333380079,USGS_04267500,44.51173,-74.882972,9994933.736020127,263.74946668202307,38.529144
150,72052462,0.005452388562,R72052462XS1377675,44.50899975056108,-74.88433358570049,USGS_04267500,44.51173,-74.882972,9994933.736020127,263.74946668202307,38.529144
151,72054926,0.000443604198949,R72054926XS1394005,43.41829754082833,-83.95836912649995,GRDC_4134400,43.4146,-83.96039999999999,10767207.4734247,135.63605438736727,82.30011
152,72054926,0.000443604198949,R72054926XS1394006,43.41685180353623,-83.95981486591188,GRDC_4134400,43.4146,-83.96039999999999,10767207.4734247,135.63605438736727,82.30011
153,72055196,0.00211143607,R72055196XS1395446,43.72646640705643,-80.34270026269569,Canada_02GA016,43.73094177246094,-80.3409423828125,10444063.468060428,385.6746446923615,6.2224746
154,72056082,0.000154062412,R72056082XS1399945,43.15583333407249,-76.32635933815271,USGS_04237500,43.157012,-76.331598,10017251.015016869,106.97917622680264,82.12839
155,72056195,0.001085631171,R72056195XS1400607,43.14383841494104,-81.1930050785721,Canada_02GD015,43.14931106567383,-81.192138671875,10479844.107972128,260.66208040107267,7.8038425
156,72056195,0.001085631171,R72056195XS1400608,43.14570246946952,-81.19333333349705,Canada_02GD015,43.14931106567383,-81.192138671875,10479844.107972128,260.66208040107267,7.8038425
157,72058958,0.001290926023,R72058958XS1416658,41.50050913934639,-83.71365753098416,GRDC_4135200,41.5021,-83.7146,10603055.285197522,160.29949673670237,85.23078
158,72058958,0.001290926023,R72058958XS1416659,41.4989125381041,-83.71442079849635,GRDC_4135200,41.5021,-83.7146,10603055.285197522,160.29949673670237,85.23078
159,72058970,0.00020406805,R72058970XS1417003,41.29083333395195,-84.27559848265582,USGS_04192500,41.291993,-84.28105699999998,10643398.762707816,163.74636396244017,73.18753
160,72058970,0.00020406805,R72058970XS1417004,41.29083333388276,-84.27852913969008,USGS_04192500,41.291993,-84.28105699999998,10643398.762707816,163.74636396244017,73.18753
161,72059013,0.000189321196,R72059013XS1417128,41.24008843453063,-84.39500000008583,USGS_04191500,41.237549,-84.399114,10651625.765606394,154.59321967809262,28.65788
162,72059013,0.000189321196,R72059013XS1417129,41.23864182889553,-84.39635817464558,USGS_04191500,41.237549,-84.399114,10651625.765606394,154.59321967809262,28.65788
163,72059013,0.000189321196,R72059013XS1417130,41.23771513564552,-84.3981182005964,USGS_04191500,41.237549,-84.399114,10651625.765606394,154.59321967809262,28.65788
164,73000101,0.002187431479,R73000101XS1422215,45.562500000412456,-68.39904573590943,USGS_01030000,45.566333,-68.403664,9499172.862604791,274.1667047910539,130.96507
165,73000101,0.002187431479,R73000101XS1422216,45.56336045551527,-68.40086045511988,USGS_01030000,45.566333,-68.403664,9499172.862604791,274.1667047910539,130.96507
166,73000420,0.00020555512,R73000420XS1424709,45.23384761831211,-68.65083333391813,USGS_01034500,45.236175,-68.651383,9490717.090692298,165.65389053033823,268.90115
